carat,cut,color,depth,table,price,x,y,z
0.56,Ideal,F,61.6,55,1814,5.32,5.29,3.27
1.09,Premium,H,60.2,59,5860,6.71,6.67,4.03
2.01,Ideal,I,61.4,59,17227,8.06,8.13,4.97
1.51,Ideal,I,63.2,57,10655,7.4,7.28,4.62
1.5,Premium,F,62.3,58,15291,7.33,7.28,4.55
0.3,Ideal,H,62.4,55,545,4.32,4.34,2.7
0.53,Ideal,H,62.5,56,1412,5.19,5.15,3.23
2.35,Premium,I,59.9,58,17294,8.68,8.61,5.18
0.32,Ideal,G,61.6,54,560,4.4,4.43,2.72
0.51,Ideal,I,61.9,54,1000,5.12,5.15,3.18
1.52,Ideal,G,59.7,57,13777,7.48,7.5,4.47
1,Very Good,E,60.7,59,4311,6.38,6.44,3.89
0.5,Very Good,E,62.7,54,1624,5.07,5.1,3.19
0.3,Ideal,E,61.6,54,499,4.32,4.35,2.67
0.76,Fair,H,61.9,70,2328,5.84,5.77,3.59
1.01,Ideal,D,62,57,5832,6.37,6.44,3.97
0.76,Premium,F,62.5,59,2443,5.79,5.77,3.61
1.37,Very Good,J,60.7,60,5063,7.07,7.19,4.33
0.83,Very Good,F,61.9,58,3322,5.97,6.01,3.71
0.42,Ideal,F,61.9,54,838,4.87,4.83,3
0.9,Premium,F,58,57,3704,6.41,6.34,3.7
0.6,Very Good,J,62.9,60,1022,5.34,5.38,3.37
0.91,Fair,H,64.4,60,3180,6.1,6.07,3.92
1.51,Good,I,64,60,9301,7.21,7.26,4.63
0.3,Ideal,D,61.5,58,670,4.27,4.31,2.64
0.7,Very Good,H,62.6,57,1830,5.64,5.7,3.55
0.72,Premium,I,61.5,59,2262,5.78,5.73,3.54
0.57,Good,D,58.3,61,2015,5.42,5.45,3.17
0.42,Very Good,F,63.4,56,926,4.78,4.75,3.02
0.52,Ideal,G,62.2,54,1319,5.16,5.19,3.22
1.07,Ideal,F,61.5,57,4678,6.57,6.6,4.05
0.55,Ideal,E,61.2,57,2001,5.28,5.3,3.24
1.01,Ideal,F,63,57,9463,6.36,6.4,4.02
0.52,Ideal,E,62.6,57,1668,5.11,5.15,3.21
0.3,Ideal,H,61.1,56,650,4.33,4.37,2.66
0.5,Fair,E,66.3,55,1397,4.98,4.94,3.29
0.9,Premium,E,59.8,58,4092,6.26,6.21,3.73
2.01,Fair,G,63.8,59,14799,7.77,7.87,4.99
0.33,Ideal,I,61.4,56,480,4.45,4.48,2.74
0.5,Very Good,D,63.2,56,1243,5.05,5.01,3.18
0.4,Very Good,E,62.1,60,644,4.65,4.69,2.9
0.36,Very Good,H,60.8,57,865,4.58,4.6,2.79
1.13,Premium,G,60,60,7404,6.87,6.72,4.08
1.05,Premium,E,60.4,58,4742,6.59,6.55,3.97
0.51,Ideal,E,61.5,55,1546,5.18,5.16,3.18
0.92,Good,G,63.8,57,2677,6.19,6.13,3.93
0.41,Ideal,H,61.2,57,683,4.76,4.78,2.92
0.39,Very Good,I,61.3,58,805,4.74,4.78,2.92
0.9,Premium,E,61.7,57,4133,6.23,6.21,3.84
0.33,Premium,I,61,58,743,4.46,4.42,2.71
0.4,Ideal,G,61.1,57,915,4.72,4.78,2.9
0.55,Ideal,E,60.7,57,1668,5.3,5.27,3.21
0.91,Good,G,63.2,61,3340,6.01,6.27,3.88
1.05,Ideal,F,62.7,56,6403,6.52,6.59,4.11
0.32,Ideal,G,61.5,57,561,4.4,4.41,2.71
0.77,Premium,D,62.1,57,3644,5.85,5.8,3.62
0.73,Ideal,E,61.6,56,3429,5.8,5.82,3.58
0.5,Premium,G,62.6,56,1286,5.1,5.06,3.18
1.5,Premium,I,58.4,61,8820,7.48,7.42,4.35
0.5,Premium,F,62.3,58,2160,5.11,5.06,3.17
0.59,Ideal,G,60.6,56,1258,5.44,5.46,3.3
0.71,Very Good,D,61.1,56,2724,5.74,5.78,3.52
0.82,Very Good,H,60.7,56,2836,6.04,6.06,3.67
1.87,Ideal,J,62.3,57,10137,7.88,7.82,4.89
1.5,Very Good,F,60,60,17279,7.36,7.44,4.44
1.06,Premium,G,61.9,55,5043,6.61,6.54,4.07
0.32,Ideal,G,61.2,57,1020,4.43,4.4,2.7
0.25,Premium,F,61.2,59,558,4.05,4.02,2.47
0.72,Very Good,G,63.3,53,2318,5.73,5.68,3.61
1.65,Ideal,H,61.6,55,10349,7.58,7.62,4.68
0.7,Very Good,E,63.3,60,2592,5.59,5.56,3.53
0.33,Ideal,G,62.1,56,854,4.42,4.4,2.74
0.35,Ideal,H,61.5,57,798,4.53,4.54,2.79
0.3,Ideal,D,61.4,56,709,4.35,4.32,2.66
0.36,Very Good,G,62.8,57,821,4.52,4.55,2.85
1.01,Ideal,H,61.4,60,4680,6.48,6.45,3.97
0.55,Ideal,F,61.7,56,1819,5.3,5.26,3.26
0.6,Good,F,63.7,61,1367,5.24,5.21,3.33
0.7,Good,D,57.7,60,3082,5.83,5.86,3.37
1.62,Very Good,H,59.6,59,11427,7.59,7.67,4.55
1.04,Premium,F,59.8,59,5284,6.61,6.56,3.94
2.02,Premium,I,59.2,58,13068,8.29,8.25,4.89
0.51,Premium,D,62.2,58,1619,5.13,5.06,3.17
0.34,Ideal,E,61.8,57,1033,4.5,4.47,2.77
0.5,Premium,E,63,59,1415,5.01,4.99,3.15
0.31,Ideal,D,62.1,54,626,4.36,4.4,2.72
1.51,Ideal,H,62.6,56,11686,7.32,7.28,4.57
0.4,Ideal,F,61.7,55,1163,4.76,4.74,2.93
0.96,Very Good,E,62.6,60,4186,6.26,6.32,3.94
0.34,Very Good,D,62.8,55,626,4.45,4.5,2.81
0.4,Very Good,F,62.3,57,737,4.67,4.74,2.93
0.4,Premium,F,62.5,59,1050,4.69,4.66,2.92
1.71,Premium,H,62.5,57,10687,7.67,7.62,4.78
0.53,Ideal,D,62.2,56,1631,5.19,5.23,3.24
0.3,Very Good,D,61,61,552,4.27,4.29,2.61
0.53,Ideal,E,60.8,55,1707,5.26,5.3,3.21
0.33,Ideal,G,61.8,55,868,4.42,4.45,2.74
0.56,Ideal,I,62,57,1698,5.33,5.29,3.29
0.38,Premium,H,61.2,60,967,4.68,4.7,2.87
2.55,Premium,I,62.9,58,14351,8.7,8.59,5.44
0.41,Ideal,G,62.3,55,1367,4.75,4.78,2.97
0.32,Ideal,D,61.6,56,758,4.37,4.4,2.7
0.9,Premium,F,61.6,58,3457,6.23,6.15,3.81
1.11,Very Good,E,62,58,4769,6.61,6.68,4.12
0.3,Very Good,F,62.2,56,832,4.28,4.3,2.67
0.9,Ideal,G,62.7,55,3428,6.11,6.17,3.85
0.71,Ideal,G,62.6,56,3210,5.65,5.69,3.55
1.1,Ideal,G,61,56,9856,6.69,6.73,4.09
0.83,Premium,F,61.4,59,2840,6.08,6.04,3.72
0.52,Ideal,E,62.9,56,1290,5.12,5.08,3.21
1.1,Very Good,I,62.7,58,4356,6.54,6.58,4.11
0.52,Ideal,F,61.5,55,1121,5.17,5.2,3.19
1.09,Very Good,D,62.2,59,4598,6.46,6.49,4.03
2.05,Very Good,H,62.4,58,15949,8.1,8.15,5.07
0.54,Ideal,H,60.1,57,1338,5.28,5.33,3.19
0.27,Very Good,E,61.3,58,470,4.13,4.16,2.54
0.31,Premium,H,62.4,58,698,4.36,4.32,2.71
1.51,Ideal,G,59.8,60,12846,7.45,7.5,4.47
1.58,Very Good,H,61.4,60,10608,7.49,7.44,4.58
0.38,Ideal,D,61.1,56,633,4.65,4.71,2.86
0.26,Ideal,E,61.8,55,580,4.13,4.09,2.54
0.47,Good,F,59,60.2,1243,5.04,5.09,2.99
0.7,Ideal,D,62.6,57,2373,5.63,5.68,3.54
0.31,Premium,G,60.4,59,1046,4.41,4.37,2.65
0.37,Premium,E,60.2,58,757,4.65,4.68,2.81
0.45,Ideal,E,61.5,55,706,4.92,4.97,3.04
1.51,Good,I,63.7,58,9116,7.23,7.21,4.6
1.11,Ideal,I,61.7,57,6090,6.61,6.64,4.09
1.25,Premium,H,62.1,58,5950,6.93,6.86,4.28
0.78,Ideal,D,61.4,57,3454,5.91,5.94,3.64
0.41,Ideal,D,61.9,56,1427,4.76,4.8,2.96
1.21,Premium,D,60.9,58,6031,6.89,6.83,4.18
0.34,Premium,G,61.2,59,995,4.5,4.46,2.74
0.3,Premium,H,62.9,58,554,4.28,4.24,2.68
0.51,Good,F,63.6,56,1312,5.11,5.08,3.24
0.51,Ideal,G,61.3,57,1974,5.15,5.12,3.15
1.17,Very Good,G,61.2,58,5595,6.84,6.86,4.19
0.53,Good,F,63.8,56,1268,5.13,5.16,3.28
2.06,Ideal,I,61.9,56,16626,8.17,8.19,5.06
0.53,Ideal,I,60.3,60,1279,5.25,5.22,3.16
0.51,Premium,E,62.4,59,1381,5.07,5.12,3.18
1.06,Ideal,J,61.3,57,3932,6.55,6.6,4.03
0.4,Premium,G,61.4,60,900,4.71,4.67,2.88
0.52,Ideal,G,62.3,55,1815,5.16,5.14,3.21
0.4,Very Good,F,63.1,56,895,4.68,4.7,2.96
0.3,Ideal,H,61.4,57,545,4.31,4.32,2.65
0.53,Ideal,D,60.8,56,2067,5.24,5.27,3.2
0.34,Very Good,E,63.3,56,765,4.44,4.41,2.8
1,Very Good,D,63.1,59,6440,6.26,6.36,3.98
0.52,Ideal,G,62.1,56,1833,5.14,5.16,3.2
0.31,Premium,E,60.2,58,942,4.43,4.38,2.65
1.1,Very Good,F,62.2,59,10329,6.56,6.69,4.12
0.65,Very Good,F,59.3,56,2406,5.64,5.76,3.37
1.51,Fair,D,64.7,57,9555,7.17,7.24,4.66
0.31,Ideal,G,60.6,58,587,4.39,4.42,2.67
1.09,Ideal,I,60.3,57,4315,6.64,6.7,4.02
0.3,Ideal,I,62.4,56,552,4.3,4.32,2.69
1.01,Ideal,G,61,56,4383,6.48,6.54,3.97
0.72,Very Good,H,60.3,56,2771,5.81,5.83,3.51
0.3,Ideal,I,61.7,57,422,4.3,4.32,2.66
0.52,Very Good,G,60.6,61,1161,5.17,5.19,3.14
0.51,Premium,G,62,52,1781,5.37,5.05,3.23
0.5,Premium,D,62.8,58,1807,5.05,5.01,3.16
0.41,Very Good,E,59.8,61,1079,4.79,4.85,2.88
1.08,Ideal,G,62.3,56,9831,6.55,6.59,4.09
2.01,Good,H,63.2,58,15919,7.93,7.98,5.03
1.02,Very Good,G,63.2,59,4718,6.41,6.37,4.04
1.04,Very Good,F,63,55,10264,6.36,6.53,4.06
1,Premium,I,62.2,62,3360,6.39,6.33,3.96
1.06,Ideal,E,60.7,57,3977,6.61,6.59,4
2.51,Ideal,H,62.9,56,15324,8.65,8.61,5.43
0.52,Very Good,G,63.3,57,1450,5.11,5.09,3.23
0.93,Premium,G,62.2,55,3689,6.27,6.24,3.89
0.32,Ideal,I,62.2,57,449,4.39,4.42,2.74
0.3,Premium,D,61.7,59,709,4.31,4.28,2.65
2.01,Good,G,63.6,59,15832,7.95,8,5.07
1.52,Premium,D,62.4,59,6810,7.36,7.29,4.57
1.55,Premium,I,58.2,59,8069,7.73,7.63,4.47
1.15,Ideal,D,58.5,57,8114,6.96,6.93,4.06
0.46,Ideal,J,62.6,53.9,851,4.92,4.95,3.09
0.24,Very Good,D,62.4,58,552,3.94,4.01,2.48
1.1,Very Good,H,63.5,55,4682,6.55,6.49,4.14
0.5,Ideal,G,62,56,1449,5.08,5.11,3.16
1.36,Premium,G,62.1,57,4509,7.11,7.06,4.4
0.33,Very Good,G,61,57,652,4.46,4.49,2.72
0.31,Very Good,D,61.8,60,462,4.33,4.37,2.69
0.7,Good,G,63.1,55,2633,5.61,5.64,3.55
0.9,Good,H,63.2,61,3398,6.12,6.03,3.84
1.01,Very Good,H,63.5,57,4659,6.31,6.35,4.02
0.52,Ideal,D,61.9,57,1919,5.17,5.14,3.19
0.85,Very Good,I,60,57,3070,6.1,6.16,3.68
1.01,Very Good,H,60.9,55,5687,6.53,6.57,3.99
1.01,Premium,I,61.8,58,4072,6.45,6.37,3.96
0.61,Good,H,58.7,64,1976,5.53,5.5,3.24
1.01,Very Good,F,61.9,58,5383,6.41,6.44,3.98
1.01,Ideal,F,63,57,4559,6.39,6.34,4.01
1.01,Ideal,E,62.6,57,5599,6.43,6.38,4.01
0.52,Premium,E,60.7,58,1815,5.21,5.17,3.15
1.59,Premium,J,62.5,60,7836,7.46,7.42,4.65
0.52,Very Good,H,63.5,58,1389,5.08,5.09,3.23
0.91,Good,H,63.1,59,3921,6.13,6.16,3.88
1.52,Premium,D,59.8,60,10623,7.5,7.42,4.46
0.45,Premium,I,62.3,58,1035,4.86,4.84,3.02
0.75,Premium,F,61.5,58,2683,5.83,5.87,3.6
1.54,Premium,H,61.9,59,11663,7.31,7.33,4.53
1.5,Ideal,I,60.5,56,9533,7.38,7.46,4.49
1.5,Ideal,H,62.2,57,10692,7.27,7.33,4.54
0.29,Very Good,F,61.5,56,563,4.26,4.3,2.63
0.71,Very Good,E,58.4,63,2343,5.85,5.8,3.4
0.51,Premium,G,60.8,59,1052,5.2,5.19,3.16
0.35,Ideal,G,61.2,56,887,4.55,4.57,2.79
0.4,Ideal,F,62.4,57,1163,4.73,4.69,2.94
0.32,Very Good,D,63.5,55,756,4.35,4.31,2.75
0.32,Premium,H,60.7,58,505,4.43,4.46,2.7
0.51,Ideal,I,61.6,54,1274,5.15,5.18,3.18
1.13,Ideal,I,61.7,57,4385,6.7,6.59,4.13
1.27,Premium,H,60,61,7503,7.03,6.99,4.26
0.26,Premium,E,60.1,60,580,4.15,4.1,2.48
1.16,Premium,H,59.6,58,4814,6.86,6.83,4.08
1.01,Very Good,H,62.1,57,5028,6.39,6.45,3.99
0.3,Ideal,I,62.2,56,515,4.27,4.31,2.67
0.41,Premium,E,59.8,60,935,4.83,4.87,2.9
1.56,Premium,J,61.1,59,8324,7.49,7.52,4.58
0.76,Premium,E,61.7,62,3064,5.85,5.82,3.6
0.91,Ideal,H,60.3,57,3423,6.27,6.31,3.79
0.52,Ideal,J,61.4,56.4,896,5.15,5.17,3.17
0.33,Ideal,E,62.5,55,743,4.45,4.42,2.77
0.9,Good,F,64.2,62,3016,6,6.08,3.88
1.63,Ideal,H,61.3,56,12620,7.6,7.57,4.65
0.92,Ideal,D,61.9,55,5051,6.24,6.27,3.87
0.51,Very Good,H,62.3,57,1628,5.1,5.12,3.18
0.54,Ideal,E,61.6,56,1774,5.24,5.28,3.24
1.74,Premium,I,62.5,57,13037,7.71,7.67,4.81
0.23,Very Good,E,61.7,59,478,3.97,4,2.46
0.5,Very Good,J,63.4,58,1023,5.07,5.02,3.2
0.38,Very Good,E,62.4,57,1098,4.62,4.71,2.91
0.31,Very Good,F,63.4,56,802,4.34,4.31,2.74
0.35,Ideal,D,62.4,55,829,4.48,4.52,2.81
0.7,Ideal,D,62.5,56,2612,5.67,5.73,3.56
0.32,Ideal,G,62,57,842,4.38,4.42,2.73
0.41,Ideal,F,61.3,55,1007,4.79,4.83,2.95
0.71,Ideal,I,61.6,56,2145,5.72,5.8,3.56
2.19,Very Good,I,60.7,60,16397,8.46,8.4,5.12
0.31,Ideal,F,61.9,54,802,4.38,4.35,2.7
0.5,Premium,G,62.8,61,1286,5.01,4.99,3.14
1.02,Ideal,G,62.3,55,6648,6.45,6.48,4.03
1.87,Premium,E,61.9,58,16232,7.94,7.88,4.9
0.36,Very Good,E,60.4,58,677,4.58,4.62,2.78
0.91,Very Good,H,58.3,59,4193,6.35,6.47,3.74
0.31,Premium,E,60.1,61,698,4.4,4.35,2.63
0.34,Very Good,D,62,59,626,4.42,4.48,2.76
1.03,Good,G,63.7,60,4001,6.35,6.28,4.02
0.91,Very Good,D,62.8,58,5033,6.16,6.19,3.88
1.05,Ideal,F,62.7,57,9784,6.5,6.41,4.05
1.03,Ideal,E,60.6,59,10003,6.5,6.53,3.95
0.28,Very Good,E,62.2,59,428,4.19,4.23,2.62
0.3,Ideal,H,62,57,457,4.27,4.31,2.66
0.31,Ideal,D,62.8,53,593,4.37,4.35,2.74
0.41,Good,D,63.4,56,707,4.73,4.76,3.01
1.01,Good,E,63.4,60,5132,6.3,6.34,4.01
1.01,Fair,I,66.1,58,3054,6.21,6.04,4.05
1,Premium,I,60.3,62,3763,6.46,6.41,3.88
0.37,Ideal,E,61.9,56,649,4.57,4.6,2.84
0.92,Premium,E,59.4,62,4183,6.3,6.24,3.73
1.03,Premium,G,60.1,60,5581,6.55,6.52,3.93
0.73,Very Good,J,60.6,61,1952,5.77,5.81,3.51
1.05,Premium,F,62.6,59,4557,6.47,6.43,4.04
0.31,Premium,G,60,62,907,4.44,4.4,2.65
1.01,Premium,H,59.4,62,3083,6.47,6.43,3.83
0.43,Premium,G,62.3,59,968,4.81,4.79,2.99
0.84,Premium,E,59.7,59,4318,6.16,6.13,3.67
0.7,Very Good,D,62.8,58,3375,5.65,5.68,3.56
1.01,Premium,I,60.5,61,3761,6.47,6.42,3.9
0.7,Ideal,G,62.7,57,2352,5.69,5.64,3.55
1.27,Very Good,H,63.1,57,4978,6.88,6.84,4.33
1.5,Ideal,G,62.2,55,16948,7.33,7.35,4.57
0.55,Premium,E,59.6,60,2277,5.41,5.36,3.15
1,Fair,I,66.9,57,1997,6.15,6.03,4.09
0.76,Ideal,H,62.4,55,2371,5.87,5.83,3.65
0.5,Ideal,H,61.7,58,1035,5.07,5.11,3.14
1.31,Premium,H,59.3,59,7395,7.18,7.13,4.24
1.54,Fair,I,64.6,56,7727,7.3,7.26,4.7
1.29,Ideal,D,61.3,56,5158,7.05,6.99,4.3
0.54,Very Good,I,63.2,57,1135,5.17,5.21,3.28
1.02,Very Good,E,63.3,59,4478,6.42,6.32,4.03
1.68,Ideal,H,61.9,56,13375,7.63,7.72,4.75
1.07,Premium,H,58.9,58,4830,6.7,6.65,3.93
0.3,Premium,H,61.8,58,878,4.36,4.32,2.68
0.72,Very Good,E,60.5,55,3798,5.82,5.85,3.53
0.32,Ideal,E,61.3,56,456,4.42,4.45,2.72
1.02,Good,G,63.6,58,7861,6.37,6.4,4.06
0.3,Good,J,64.1,58,441,4.26,4.23,2.72
0.5,Premium,J,60.7,58,1125,5.13,5.11,3.11
0.9,Very Good,G,62.3,60,4540,6,6.08,3.76
2,Good,J,64.2,61,11988,7.72,7.69,4.95
0.7,Good,E,64.3,57,2164,5.63,5.56,3.6
0.7,Good,G,63.5,61,2074,5.61,5.64,3.57
0.32,Very Good,I,63,56,449,4.38,4.42,2.77
0.31,Ideal,F,61.7,55,490,4.35,4.37,2.69
1.21,Very Good,F,62.9,54,8403,6.78,6.82,4.28
0.7,Premium,E,61,57,2777,5.73,5.68,3.48
1.52,Very Good,J,62.1,60,11392,7.33,7.36,4.56
2,Very Good,H,62.8,57,18803,7.95,8,5.01
0.41,Ideal,G,61.4,59,1042,4.78,4.76,2.93
0.7,Good,E,64.2,60,2394,5.58,5.64,3.6
0.42,Ideal,H,61,56,1213,4.82,4.79,2.93
0.7,Premium,F,62.3,58,2838,5.72,5.64,3.54
1.73,Premium,F,61.2,58,16975,7.76,7.69,4.73
0.91,Very Good,E,59.4,59,4795,6.3,6.36,3.76
1.51,Very Good,G,62.8,56,8637,7.22,7.3,4.56
0.61,Ideal,I,62,54,1380,5.44,5.49,3.39
0.26,Ideal,E,61.7,57,599,4.07,4.1,2.52
0.32,Very Good,D,62.5,57,758,4.34,4.39,2.73
0.33,Very Good,E,59.8,59,772,4.5,4.53,2.7
0.31,Ideal,G,61.5,56,687,4.38,4.4,2.7
2.06,Premium,G,61.5,58,18439,8.2,8.15,5.03
2.07,Premium,I,59.4,61,15392,8.35,8.31,4.95
1.2,Ideal,J,61.8,55,5318,6.84,6.86,4.23
0.55,Ideal,H,61.4,56,1584,5.28,5.31,3.25
0.3,Very Good,G,63.5,54,878,4.26,4.25,2.7
0.5,Premium,E,61.7,58,1240,5.12,5.06,3.14
0.31,Ideal,G,61.6,55,891,4.37,4.39,2.7
0.91,Very Good,G,63.4,59,3763,6.2,6.14,3.91
0.36,Ideal,I,60.5,57,568,4.56,4.59,2.77
1.01,Premium,E,62.3,59,5430,6.38,6.33,3.96
0.7,Fair,H,64.5,65,2717,5.52,5.45,3.54
0.37,Very Good,E,61.6,56,493,4.61,4.65,2.85
0.28,Very Good,D,60.6,58,642,4.23,4.25,2.57
0.37,Ideal,J,62.4,55,624,4.64,4.59,2.88
0.5,Very Good,E,63.2,57,1415,5.06,5.03,3.19
0.46,Ideal,G,62.4,54.4,1306,4.93,4.98,3.09
0.41,Premium,G,62.1,60,899,4.72,4.78,2.95
2.01,Ideal,E,62.2,57,17849,8.09,8.04,5.02
0.32,Premium,H,61,60,505,4.35,4.41,2.67
0.71,Very Good,G,63.1,56,2462,5.58,5.77,3.58
1.22,Premium,H,62.4,58,5997,6.82,6.77,4.24
0.41,Ideal,F,61.2,56,1323,4.78,4.82,2.94
1.19,Good,E,57.4,60,7064,7,6.9,3.99
1.97,Very Good,H,62.9,59,17377,7.9,8.01,5
1.01,Ideal,G,59.3,60,4556,6.54,6.58,3.89
1.52,Very Good,J,62.6,58,7467,7.28,7.31,4.57
1.01,Very Good,E,63.3,58,8912,6.39,6.31,4.02
1.7,Ideal,E,61.6,57,9139,7.63,7.57,4.68
1.52,Very Good,F,63.7,57,16786,7.28,7.31,4.65
1.7,Very Good,H,60.8,56,10255,7.67,7.72,4.68
0.4,Ideal,G,61.6,57,1123,4.75,4.76,2.93
0.44,Ideal,H,61.5,56,1185,4.89,4.93,3.02
0.52,Very Good,E,62.6,58,1372,5.05,5.17,3.2
1,Good,J,64.3,59,3580,6.27,6.21,4.01
0.23,Very Good,F,59.8,57,402,4.04,4.06,2.42
0.44,Very Good,J,63.1,57,891,4.87,4.83,3.06
1.51,Ideal,E,61.5,57,18729,7.34,7.4,4.53
0.77,Good,E,64.1,56,2005,5.84,5.77,3.72
1.5,Very Good,G,60.5,57,12014,7.39,7.43,4.48
0.29,Very Good,H,61.2,56,541,4.26,4.29,2.61
0.3,Ideal,E,61.5,55,658,4.28,4.31,2.64
0.53,Ideal,E,60.9,56,1786,5.27,5.28,3.21
0.71,Premium,F,61.6,60,2381,5.79,5.73,3.55
0.31,Very Good,H,63,57,489,4.32,4.34,2.73
1.16,Ideal,D,62,55,12989,6.68,6.72,4.19
0.5,Premium,F,60.6,59,1764,5.19,5.14,3.13
0.31,Good,G,64.4,54,531,4.24,4.29,2.75
0.33,Ideal,G,61.8,55,838,4.47,4.5,2.77
0.31,Ideal,E,62.7,57,698,4.32,4.29,2.7
1.01,Good,D,64.6,59,4468,6.23,6.3,4.05
0.31,Ideal,H,62,53,562,4.34,4.37,2.7
1.51,Premium,F,61.4,58,11817,7.43,7.35,4.54
0.42,Ideal,G,61.2,57,1179,4.78,4.82,2.94
0.38,Ideal,G,61.6,56,969,4.68,4.63,2.86
1.01,Good,E,63.7,55,4118,6.38,6.31,4.05
2.02,Premium,E,61,59,18117,8.18,8.12,4.97
0.75,Very Good,H,60.6,58,2806,5.85,5.9,3.56
0.3,Ideal,E,61.4,55,1053,4.34,4.36,2.67
1.01,Good,D,63.6,61,3959,6.35,6.33,4.03
1,Good,E,65.3,56,7226,6.19,6.24,4.06
0.51,Premium,F,62.7,59,1402,5.04,5.07,3.17
0.52,Good,I,63.6,60,1073,5.1,5.05,3.23
0.3,Ideal,H,62.1,54,590,4.32,4.35,2.69
0.75,Fair,F,64.5,60,2363,5.65,5.54,3.61
0.55,Ideal,I,60.4,56,1109,5.32,5.36,3.23
2.22,Very Good,J,58.7,60,13782,8.51,8.57,5.01
1.51,Ideal,G,61.8,54,14482,7.42,7.38,4.57
0.5,Very Good,G,62.8,55,1170,5.03,5.07,3.17
0.29,Ideal,H,62.1,55,607,4.26,4.29,2.65
1.79,Premium,G,61.7,59,18419,7.85,7.74,4.81
0.74,Ideal,D,61.1,57,2690,5.81,5.84,3.56
0.3,Ideal,D,61,58,547,4.32,4.33,2.64
1,Ideal,G,62.3,54,6272,6.42,6.38,3.99
1.71,Very Good,F,63.3,53,13152,7.54,7.59,4.79
1.27,Very Good,F,62.5,56,13200,6.99,6.93,4.35
1.52,Ideal,D,62.3,56,15252,7.41,7.32,4.59
0.92,Premium,G,59.4,60,3916,6.34,6.31,3.76
0.55,Very Good,E,61.2,57,1725,5.22,5.27,3.21
1.01,Ideal,G,60.9,56,8029,6.51,6.55,3.98
0.5,Premium,F,62.2,59,1250,5.07,5.03,3.14
0.38,Ideal,D,60.7,56,808,4.69,4.74,2.86
1.03,Ideal,G,62.8,55,6645,6.48,6.44,4.05
1.5,Good,I,63.8,59,8736,7.21,7.11,4.57
0.43,Very Good,G,62.3,59,754,4.79,4.81,2.99
0.75,Premium,F,61.1,59,2744,5.86,5.79,3.56
1.2,Premium,H,61,58,6129,6.92,6.84,4.2
0.51,Premium,E,62.5,59,1656,5.06,5.11,3.18
0.32,Ideal,G,61.6,57,828,4.42,4.38,2.71
0.34,Good,E,60.5,60.1,641,4.5,4.53,2.73
0.7,Very Good,F,61.7,63,2737,5.61,5.64,3.47
0.7,Good,H,59.1,65,2352,5.85,5.75,3.43
0.3,Ideal,D,61.6,57,710,4.3,4.33,2.66
0.39,Very Good,F,62.7,57,1232,4.64,4.68,2.92
0.3,Very Good,D,63.2,59,707,4.26,4.29,2.7
1,Premium,G,61.6,58,5940,6.39,6.43,3.95
0.52,Premium,G,59.7,60,1306,5.22,5.2,3.11
0.83,Good,I,64.6,54,2774,5.85,5.88,3.79
0.73,Very Good,D,60.8,59,3014,5.8,5.85,3.54
1.23,Ideal,H,62.1,55.9,6088,6.82,6.85,4.24
0.3,Ideal,G,61.4,57,477,4.28,4.32,2.64
0.31,Ideal,G,61.6,55,596,4.37,4.4,2.7
0.53,Good,G,63.8,56,1268,5.14,5.18,3.29
1.1,Ideal,H,61.5,56,6844,6.61,6.65,4.08
1.28,Ideal,H,61.8,57,5676,7,6.97,4.32
0.3,Ideal,E,61.9,57,675,4.33,4.29,2.67
0.91,Good,D,63.8,58,3781,6.09,6.04,3.87
1.01,Very Good,D,62.4,58,4666,6.39,6.47,4.01
0.51,Very Good,F,60.5,63,1781,5.17,5.11,3.11
0.45,Very Good,E,62.8,58,851,4.84,4.88,3.05
1.02,Very Good,J,62.9,59,3755,6.34,6.41,4.01
1.54,Ideal,F,61.9,56,12195,7.44,7.38,4.59
0.35,Ideal,D,61.5,56,1063,4.55,4.53,2.79
0.41,Ideal,F,61.4,56,824,4.77,4.8,2.94
0.7,Ideal,F,59.8,55,2665,5.83,5.75,3.46
1.05,Ideal,H,61.3,57,6255,6.51,6.54,4
1.02,Premium,G,61.8,59,8643,6.46,6.41,3.98
0.34,Good,H,63.1,57,596,4.4,4.44,2.79
1.55,Very Good,H,63.3,56,10546,7.38,7.32,4.65
0.77,Good,I,64.1,55,2184,5.8,5.86,3.73
1.52,Very Good,D,61.2,63,9030,7.39,7.31,4.5
1.58,Ideal,D,62.5,55,11428,7.39,7.45,4.64
0.3,Ideal,F,62.1,55,868,4.31,4.32,2.68
1.37,Very Good,H,62,59,9046,7.08,7.12,4.4
0.31,Good,H,63.1,58,489,4.27,4.32,2.71
0.31,Ideal,D,62.4,53,732,4.35,4.33,2.71
0.83,Very Good,H,62.5,59,2800,5.95,6.02,3.74
0.52,Very Good,D,61.6,58,1429,5.14,5.22,3.19
0.42,Ideal,D,61.4,56,1326,4.82,4.85,2.97
0.28,Very Good,G,62,55,382,4.2,4.25,2.62
0.3,Ideal,G,62.5,55,665,4.3,4.34,2.7
0.91,Premium,G,60.4,61,3376,6.28,6.21,3.77
0.4,Ideal,E,62.4,54,951,4.73,4.75,2.96
1.53,Good,I,63.9,59,6238,7.31,7.17,4.64
0.54,Ideal,E,62.2,55,1754,5.21,5.24,3.25
0.27,Very Good,H,62.1,57,486,4.1,4.15,2.56
